From,To,Similarity,X.y,fdd_var,cohort
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,17134,v102_h12,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,17469,v102_h14,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,17804,v102_h16,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,18477,v102_h6,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,18804,v102_h8,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,19140,v102_hx,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,35945,v132_h1,cfasii
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,36278,v132_h2,cfasii
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,14310,v102_h6,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,17134,v102_h12,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,17469,v102_h14,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,17804,v102_h16,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,18477,v102_h6,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,18804,v102_h8,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,19140,v102_hx,cfas
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,35945,v132_h1,cfasii
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,36278,v132_h2,cfasii
[c3 sleep disturbance] the card number in this case 9,Sleep disturbances,0.747,7129,T0481 C3 General health and sleep disturbance quests,caps
q17k difficulty sleeping last 14 days? (s2),Difficulty sleeping,0.742,85000,ZSYMP11,whitehall
had difficulty in staying asleep once you are off?,Have Difficulty Getting to Sleep and Staying Asleep,0.741,83656,b2,genscot
q19k difficulty sleeping in last 14 days (s1),Difficulty sleeping,0.74,84991,SYMP11,whitehall
cried out during sleep?,During sleep,0.737,739,QSSLBD_Sleep,ample
q15k difficulty sleeping in last 14 dys? (s3),Difficulty sleeping,0.736,85046,XSYMP11,whitehall
q74k difficulty sleeping in last 2 wks (s7),Difficulty sleeping,0.733,85356,MSYMP11,whitehall
[c3 sleep disturbance q16] do you take sleeping tables? ,Sleep disturbances,0.729,3372,c3sleeptablets,caps
[c3 sleep disturbance q16] do you take sleeping tables? ,Sleep disturbances,0.729,7166,T0481 C3 General health and sleep disturbance quests,caps
age at onset of sleep problem?,Problem with Sleep,0.72,19492,v119_s0,cfas
age at onset of sleep problem?,Problem with Sleep,0.72,21417,v119_y0,cfas
"during the past month, how often have you had trouble sleeping because you:- have pain",Trouble Sleeping Because of Pain,0.716,1643,SP13,camcan
o-rate insomnia,Initial insomnia,0.712,9699,v87_a0,cfas
o-rate insomnia,Initial insomnia,0.712,10133,v87_a2,cfas
problems sleeping?,Problem with Sleep,0.712,19490,v117_s0,cfas
problems sleeping?,Problem with Sleep,0.712,21415,v117_y0,cfas
"during the past month, how often have you had trouble sleeping because you:- have to get up to use the bathroom","Trouble Sleeping, Get Up to Use the Bathroom",0.708,1637,SP7,camcan
sleeping a problem now?,Problem with Sleep,0.708,14311,v103_h6,cfas
sleeping a problem now?,Problem with Sleep,0.708,17135,v103_h12,cfas
sleeping a problem now?,Problem with Sleep,0.708,17470,v103_h14,cfas
sleeping a problem now?,Problem with Sleep,0.708,17805,v103_h16,cfas
sleeping a problem now?,Problem with Sleep,0.708,18478,v103_h6,cfas
sleeping a problem now?,Problem with Sleep,0.708,18805,v103_h8,cfas
sleeping a problem now?,Problem with Sleep,0.708,19141,v103_hx,cfas
sleeping a problem now?,Problem with Sleep,0.708,35946,v133_h1,cfasii
sleeping a problem now?,Problem with Sleep,0.708,36279,v133_h2,cfasii
sleeping a problem now?,Problem with Sleep,0.708,14311,v103_h6,cfas
sleeping a problem now?,Problem with Sleep,0.708,17135,v103_h12,cfas
sleeping a problem now?,Problem with Sleep,0.708,17470,v103_h14,cfas
sleeping a problem now?,Problem with Sleep,0.708,17805,v103_h16,cfas
sleeping a problem now?,Problem with Sleep,0.708,18478,v103_h6,cfas
sleeping a problem now?,Problem with Sleep,0.708,18805,v103_h8,cfas
sleeping a problem now?,Problem with Sleep,0.708,19141,v103_hx,cfas
