master_id,who,Cohort,Cohort_Var_Name,Full_Description,Cohort_Var_Description,Consensus Category,Test Categories
394,BJD,CaPS,c3hrsweekendsleep,[c3 sleep disturbance q13b] how many hours of sleep do you usually get in a weekend or non-work night?,[c3 sleep disturbance q13b] how many hours of sleep do you usually get in a weekend or non-work night?,['Sleep Duration'],['No Specific Test']
398,BJD,CaPS,c3kickduringsleep,[c3 sleep disturbance q10] do you kick or make other disruptive movements during sleep? ,[c3 sleep disturbance q10] do you kick or make other disruptive movements during sleep? ,['Sleep Disorders'],['No Specific Test']
401,BJD,CaPS,c3freqsnoring,"[c3 sleep disturbance q3] according to others, please estimate how often you snore? ","[c3 sleep disturbance q3] according to others, please estimate how often you snore? ",['Sleep Disorders'],['No Specific Test']
436,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,[c3 sleep disturbance] the unique number allocated to each subject in the study as recorded on card 9,[c3 sleep disturbance] the unique number allocated to each subject in the study as recorded on card 9,['Uncategorized'],['No Specific Test']
439,BJD,CaPS,c3sleepbreathupnormally,[c3 sleep disturbance q9] how often do you seem to have momentary periods in your sleep when you breath abnormally? ,[c3 sleep disturbance q9] how often do you seem to have momentary periods in your sleep when you breath abnormally? ,['Sleep Disorders'],['No Specific Test']
442,BJD,CaPS,c3gaspduringsleep,"[c3 sleep disturbance q7] according to others how often do you gasp, choke or make snorting sounds during sleep? ","[c3 sleep disturbance q7] according to others how often do you gasp, choke or make snorting sounds during sleep? ",['Sleep Disorders'],['No Specific Test']
451,BJD,CaPS,c3timefallasleep,[c3 sleep disturbance q12] approximately how many minutes does it usually take you to fall asleep at night?,[c3 sleep disturbance q12] approximately how many minutes does it usually take you to fall asleep at night?,['Sleep Latency and Waking'],['No Specific Test']
458,BJD,CaPS,c1sleeping,[c1 clinic interview q23c2g] personality: are you: do you have great difficulty in falling or staying asleep? ,[c1 clinic interview q23c2g] personality: are you: do you have great difficulty in falling or staying asleep? ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
460,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,[c3 sleep disturbance] date of birth of the subject in format dd/mm/yyyy from card 9,[c3 sleep disturbance] date of birth of the subject in format dd/mm/yyyy from card 9,['Uncategorized'],['No Specific Test']
489,BJD,CaPS,c3yrssnoring,"[c3 sleep disturbance q5] based on what others have told you, for about how many years do you think you have snored?","[c3 sleep disturbance q5] based on what others have told you, for about how many years do you think you have snored?",['Sleep Disorders'],['No Specific Test']
492,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,[c3 sleep disturbance] original text version of date of birth of the subject in format ddmmyy from card 9,[c3 sleep disturbance] original text version of date of birth of the subject in format ddmmyy from card 9,['Uncategorized'],['No Specific Test']
501,BJD,CaPS,c3nasalcongestion,"[c3 sleep disturbance q11g] nasal congestion, obstruction, or discharge at night? ","[c3 sleep disturbance q11g] nasal congestion, obstruction, or discharge at night? ",['Physical Health and Sleep'],['No Specific Test']
506,BJD,CaPS,c3allergiescausingnasalcongestio,[c3 sleep disturbance q15] do you have any allergies like hay fever that cause congestion? ,[c3 sleep disturbance q15] do you have any allergies like hay fever that cause congestion? ,['Physical Health and Sleep'],['No Specific Test']
509,BJD,CaPS,c3stimulantstostayawake,[c3 sleep disturbance q11i] need for coffee or other stimulants to stay awake during the day? ,[c3 sleep disturbance q11i] need for coffee or other stimulants to stay awake during the day? ,['Daytime Sleepiness'],['No Specific Test']
514,BJD,CaPS,c5q45kicking,[c5 self completion quest q45] how often do you kick or make other disruptive movements during sleep? ,[c5 self completion quest q45] how often do you kick or make other disruptive movements during sleep? ,['Sleep Disorders'],['No Specific Test']
519,BJD,CaPS,c3dozemomentarily,"[c3 sleep disturbance q11h] fall asleep or doze momentarily: watching tv, reading, in meetings etc? ","[c3 sleep disturbance q11h] fall asleep or doze momentarily: watching tv, reading, in meetings etc? ",['Daytime Sleepiness'],['No Specific Test']
522,BJD,CaPS,c3awarenesssnoring,[c3 sleep disturbance q6] how often(if ever) have you had the feeling or awareness that you have been snoring? ,[c3 sleep disturbance q6] how often(if ever) have you had the feeling or awareness that you have been snoring? ,['Sleep Disorders'],['No Specific Test']
545,BJD,CaPS,c3wakegasping,[c3 sleep disturbance q8] how often have you wakened suddenly with the feeling of gasping or choking? ,[c3 sleep disturbance q8] how often have you wakened suddenly with the feeling of gasping or choking? ,"['Sleep Disorders', 'Sleep Latency and Waking']",['No Specific Test']
556,BJD,CaPS,c5q47hoursofsleep,[c5 self completion quest q47] how many hours of sleep do you usually get each night?,[c5 self completion quest q47] how many hours of sleep do you usually get each night?,['Sleep Duration'],['No Specific Test']
590,BJD,CaPS,c2easilyawakened,[c2 psychosocial quest noise q2] i am easily awakened by noise ,[c2 psychosocial quest noise q2] i am easily awakened by noise ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
593,BJD,CaPS,c5q42gaspingorchoking,[c5 self completion quest q42] how often do you gasp or choke during sleep? ,[c5 self completion quest q42] how often do you gasp or choke during sleep? ,['Sleep Disorders'],['No Specific Test']
598,BJD,CaPS,c5q39loudnessofsnoring,[c5 self completion quest q39] how loud is your snoring? ,[c5 self completion quest q39] how loud is your snoring? ,['Sleep Disorders'],['No Specific Test']
612,BJD,CaPS,c3depressed,[c3 general health q22] have you recently been feeling unhappy and depressed? ,[c3 general health q22] have you recently been feeling unhappy and depressed? ,['Uncategorized'],['No Specific Test']
614,BJD,CaPS,c5q50sleepingtablets,[c5 self completion quest q50] do you take sleeping tablets? ,[c5 self completion quest q50] do you take sleeping tablets? ,['Sleep Medications and Aids'],['No Specific Test']
617,BJD,CaPS,c2angrywithnoisypeople,[c2 psychosocial quest noise q9] i get angry with people who make noise that keeps me awake or doing work ,[c2 psychosocial quest noise q9] i get angry with people who make noise that keeps me awake or doing work ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
619,BJD,CaPS,c5q44stopbreathing,[c5 self completion quest q44] how often do you have momentary periods during sleep when you stop breathing or breath abnormally? ,[c5 self completion quest q44] how often do you have momentary periods during sleep when you stop breathing or breath abnormally? ,['Sleep Disorders'],['No Specific Test']
639,BJD,CaPS,c2lostmuchsleep,[c2 general health q2] have you recently lost much sleep over worry? ,[c2 general health q2] have you recently lost much sleep over worry? ,['Mental Health and Sleep'],['No Specific Test']
641,BJD,CaPS,c3lostmuchsleep,[c3 general health q2] have you recently lost much sleep over worry? ,[c3 general health q2] have you recently lost much sleep over worry? ,['Mental Health and Sleep'],['No Specific Test']
643,BJD,CaPS,c4lostmuchsleep,[c4 general health q2] have you recently lost much sleep over worry? ,[c4 general health q2] have you recently lost much sleep over worry? ,['Mental Health and Sleep'],['No Specific Test']
645,BJD,CaPS,c5lostmuchsleep,[c5 general health q2] have you recently lost much sleep over worry? ,[c5 general health q2] have you recently lost much sleep over worry? ,['Mental Health and Sleep'],['No Specific Test']
