"","ui","rootSource","uri","name"
"1755","C0479996","MTHICD9","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0479996","Accidental poisoning by sleeping tablet NOS"
"1756","C4523012","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4523012","melatonin 3 MG / threonine 200 MG Chewable Tablet"
"1757","C2188830","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C2188830","sleeping upright or using specific number of extra pillows (orthopnea)"
"1758","C0710404","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0710404","diphenhydramine hydrochloride 25 MG Oral Tablet [Sleeptabs]"
"1759","C0852427","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0852427","Spánkové poruchy NEC in MDRCZE24_1"
"1760","C0557225","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0557225","Sleeping in vehicle"
"1761","C0557223","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0557223","Sleeping in night shelter"
"1762","C5540343","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5540343","WORMWOOD 20 [hp_X] in 1 mL / SEMECARPUS ANACARDIUM JUICE 20 [hp_X] in 1 mL / SILVER NITRATE 20 [hp_X] in 1 mL / ARSENIC TRIOXIDE 20 [hp_X] in 1 mL / ATROPA BELLADONNA 20 [hp_X] in 1 mL / BRYONIA ALBA ROOT 20 [hp_X] in 1 mL / OYSTER SHELL CALCIUM CARBONATE, CRUDE 20 [hp_X] in 1 mL / CAMPHOR (NATURAL) 20 [hp_X] in 1 mL / MATRICARIA CHAMOMILLA 20 [hp_X] in 1 mL / BLACK COHOSH 20 [hp_X] in 1 mL / CINCHONA OFFICINALIS BARK 20 [hp_X] in 1 mL / ARABICA COFFEE BEAN 20 [hp_X] in 1 mL / CYPRIPEDIUM PARVIFLORUM VAR. PUBESCENS ROOT 20 [hp_X] in 1 mL / GELSEMIUM SEMPERVIRENS ROOT 20 [hp_X] in 1 mL / HOPS 20 [hp_X] in 1 mL / HYOSCYAMUS NIGER 20 [hp_X] in 1 mL / STRYCHNOS IGNATII SEED 20 [hp_X] in 1 mL / POTASSIUM BROMIDE 20 [hp_X] in 1 mL / STRYCHNOS NUX-VOMICA SEED 20 [hp_X] in 1 mL / PASSIFLORA INCARNATA FLOWERING TOP 20 [hp_X] in 1 mL / ANEMONE PULSATILLA 20 [hp_X] in 1 mL / SCUTELLARIA LATERIFLORA WHOLE 20 [hp_X] in 1 mL / SEPIA OFFICINALIS JUICE 20 [hp_X] in 1 mL / THUJA OCCIDENTALIS LEAFY TWIG 20 [hp_X] in 1 mL / VALERIAN 11 [hp_X] in 1 mL ORAL LIQUID [I-Sleep]"
"1763","C5540293","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5540293","WORMWOOD 15 [hp_X] in 1 mL / SEMECARPUS ANACARDIUM JUICE 15 [hp_X] in 1 mL / SILVER NITRATE 15 [hp_X] in 1 mL / ARSENIC TRIOXIDE 15 [hp_X] in 1 mL / ATROPA BELLADONNA 15 [hp_X] in 1 mL / BRYONIA ALBA ROOT 15 [hp_X] in 1 mL / OYSTER SHELL CALCIUM CARBONATE, CRUDE 15 [hp_X] in 1 mL / CAMPHOR (NATURAL) 15 [hp_X] in 1 mL / MATRICARIA CHAMOMILLA 15 [hp_X] in 1 mL / BLACK COHOSH 15 [hp_X] in 1 mL / CINCHONA OFFICINALIS BARK 15 [hp_X] in 1 mL / ARABICA COFFEE BEAN 15 [hp_X] in 1 mL / CYPRIPEDIUM PARVIFLORUM VAR. PUBESCENS ROOT 15 [hp_X] in 1 mL / GELSEMIUM SEMPERVIRENS ROOT 15 [hp_X] in 1 mL / HOPS 15 [hp_X] in 1 mL / HYOSCYAMUS NIGER 15 [hp_X] in 1 mL / STRYCHNOS IGNATII SEED 15 [hp_X] in 1 mL / POTASSIUM BROMIDE 15 [hp_X] in 1 mL / STRYCHNOS NUX-VOMICA SEED 15 [hp_X] in 1 mL / PASSIFLORA INCARNATA FLOWERING TOP 15 [hp_X] in 1 mL / ANEMONE PULSATILLA 15 [hp_X] in 1 mL / SCUTELLARIA LATERIFLORA WHOLE 15 [hp_X] in 1 mL / SEPIA OFFICINALIS JUICE 15 [hp_X] in 1 mL / THUJA OCCIDENTALIS LEAFY TWIG 15 [hp_X] in 1 mL / VALERIAN 6 [hp_X] in 1 mL ORAL LIQUID [I-Sleep]"
"1764","C5540292","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5540292","WORMWOOD 15 [hp_X] in 1 g / SEMECARPUS ANACARDIUM JUICE 15 [hp_X] in 1 g / SILVER NITRATE 15 [hp_X] in 1 g / ARSENIC TRIOXIDE 15 [hp_X] in 1 g / ATROPA BELLADONNA 15 [hp_X] in 1 g / MATRICARIA CHAMOMILLA 15 [hp_X] in 1 g / BRYONIA ALBA ROOT 15 [hp_X] in 1 g / OYSTER SHELL CALCIUM CARBONATE, CRUDE 15 [hp_X] in 1 g / CAMPHOR (NATURAL) 15 [hp_X] in 1 g / BLACK COHOSH 15 [hp_X] in 1 g / CINCHONA OFFICINALIS BARK 15 [hp_X] in 1 g / ARABICA COFFEE BEAN 15 [hp_X] in 1 g / CYPRIPEDIUM PARVIFLORUM VAR. PUBESCENS ROOT 15 [hp_X] in 1 g / GELSEMIUM SEMPERVIRENS ROOT 15 [hp_X] in 1 g / HOPS 15 [hp_X] in 1 g / HYOSCYAMUS NIGER 15 [hp_X] in 1 g / STRYCHNOS IGNATII SEED 15 [hp_X] in 1 g / POTASSIUM BROMIDE 15 [hp_X] in 1 g / STRYCHNOS NUX-VOMICA SEED 15 [hp_X] in 1 g / SEPIA OFFICINALIS JUICE 15 [hp_X] in 1 g / PASSIFLORA INCARNATA FLOWERING TOP 15 [hp_X] in 1 g / ANEMONE PULSATILLA 15 [hp_X] in 1 g / SCUTELLARIA LATERIFLORA WHOLE 15 [hp_X] in 1 g / THUJA OCCIDENTALIS LEAFY TWIG 15 [hp_X] in 1 g / VALERIAN 6 [hp_X] in 1 g ORAL PELLET [I-Sleep]"
